TN4270301d_val,TN4270401d_val,TN4270501d_val,TN4270601d_val,TN4270701d_val,TN4270801d_val,TN4270901d_val,TN4271001d_val,TN4271101d_val,TN4271201d_val,TN4271301d_val,TN4271401d_val,TN4271502d_val
27.0679,26.1182,28.0279,28.2289,23.6346,26.2146,25.5199,23.4468,20.4995,21.4127,26.3792,26.79,24.4215
27.0679,26.1182,28.0279,28.2289,23.6346,26.2146,25.5199,23.4468,20.4995,21.4127,26.3792,26.79,24.4215
26.8197,25.7627,27.8516,27.8946,22.5738,26.1826,25.0154,21.257,19.8396,21.1645,26.2804,26.6495,24.0578
26.8197,25.7627,27.8516,27.8946,22.5738,26.1826,25.0154,21.257,19.8396,21.1645,26.2804,26.6495,24.0578
26.6208,25.409,27.4992,26.8562,22.3538,26.1427,24.9303,20.2855,19.238,20.9415,26.0601,26.5942,23.8529
26.6208,25.409,27.4992,26.8562,22.3538,26.1427,24.9303,20.2855,19.238,20.9415,26.0601,26.5942,23.8529
26.4778,25.0813,27.3144,26.3251,22.1741,25.5975,24.8603,20.0604,18.7177,20.6778,25.6563,26.4963,23.7596
26.4778,25.0813,27.3144,26.3251,22.1741,25.5975,24.8603,20.0604,18.7177,20.6778,25.6563,26.4963,23.7596
26.2292,24.8719,27.3154,26.2525,22.1304,24.4578,24.6883,19.8801,18.4647,20.3611,25.0399,26.3801,23.6814
26.2292,24.8719,27.3154,26.2525,22.1304,24.4578,24.6883,19.8801,18.4647,20.3611,25.0399,26.3801,23.6814
25.9463,24.5334,27.1463,26.0548,22.0038,24.2123,22.2621,19.7264,18.1881,20.0099,24.2897,26.2104,23.3881
25.9463,24.5334,27.1463,26.0548,22.0038,24.2123,22.2621,19.7264,18.1881,20.0099,24.2897,26.2104,23.3881
25.5816,23.928,26.1964,25.3063,21.7346,23.8233,21.3524,19.4608,17.8886,19.0183,23.4042,26.086,23.099
25.5816,23.928,26.1964,25.3063,21.7346,23.8233,21.3524,19.4608,17.8886,19.0183,23.4042,26.086,23.099
24.7063,23.8691,25.9124,24.0928,21.4861,23.1285,21.0859,19.0881,17.7204,18.1431,22.8896,25.957,22.9088
24.7063,23.8691,25.9124,24.0928,21.4861,23.1285,21.0859,19.0881,17.7204,18.1431,22.8896,25.957,22.9088
24.3138,23.8547,25.0191,23.983,21.2452,22.2917,20.8156,18.8973,17.2668,17.4294,22.4284,25.8616,22.7969
24.3138,23.8547,25.0191,23.983,21.2452,22.2917,20.8156,18.8973,17.2668,17.4294,22.4284,25.8616,22.7969
23.7591,23.8174,24.3603,23.6552,20.8278,22.0495,20.5877,18.5436,16.9795,17.245,21.9367,25.6635,22.5147
23.7591,23.8174,24.3603,23.6552,20.8278,22.0495,20.5877,18.5436,16.9795,17.245,21.9367,25.6635,22.5147
23.4643,23.6756,23.9001,22.9825,20.4635,21.817,20.5559,18.1999,16.5532,17.0409,21.9016,25.2524,22.3312
23.4643,23.6756,23.9001,22.9825,20.4635,21.817,20.5559,18.1999,16.5532,17.0409,21.9016,25.2524,22.3312
23.4486,23.5262,23.2323,21.6815,20.3401,21.0771,20.5152,17.9129,15.655,16.9529,21.2956,24.9736,22.2531
23.4486,23.5262,23.2323,21.6815,20.3401,21.0771,20.5152,17.9129,15.655,16.9529,21.2956,24.9736,22.2531
23.4468,22.9261,22.6881,20.8841,19.9193,20.9439,20.1093,17.8841,15.3238,16.8393,20.7158,24.7531,22.1346
23.4468,22.9261,22.6881,20.8841,19.9193,20.9439,20.1093,17.8841,15.3238,16.8393,20.7158,24.7531,22.1346
23.3359,22.3639,22.3103,20.8071,19.1993,20.6981,19.2339,17.9207,15.1157,16.7437,19.9811,24.4623,21.5051
23.3359,22.3639,22.3103,20.8071,19.1993,20.6981,19.2339,17.9207,15.1157,16.7437,19.9811,24.4623,21.5051
23.2303,22.1981,21.9581,20.4043,18.7498,20.0171,18.7745,17.8412,14.5454,16.5672,18.3801,24.0409,20.3846
23.2303,22.1981,21.9581,20.4043,18.7498,20.0171,18.7745,17.8412,14.5454,16.5672,18.3801,24.0409,20.3846
23.1016,22.0148,21.6115,19.1334,18.6398,19.1399,18.4284,17.625,14.3258,15.9324,17.494,23.5163,20.0194
23.1016,22.0148,21.6115,19.1334,18.6398,19.1399,18.4284,17.625,14.3258,15.9324,17.494,23.5163,20.0194
22.92,21.6689,20.7785,18.3651,18.5805,18.6245,18.3246,17.5071,14.2155,15.2343,17.2724,23.0479,19.2467
22.92,21.6689,20.7785,18.3651,18.5805,18.6245,18.3246,17.5071,14.2155,15.2343,17.2724,23.0479,19.2467
22.7413,21.3199,20.0773,17.5058,18.4809,18.1671,18.1536,17.348,13.9692,14.8196,16.7369,22.5028,18.2474
22.7413,21.3199,20.0773,17.5058,18.4809,18.1671,18.1536,17.348,13.9692,14.8196,16.7369,22.5028,18.2474
22.5988,21.1493,19.4867,17.0054,18.3055,18.0243,17.8342,17.2131,13.6184,14.3492,16.1405,22.0077,17.1988
22.5988,21.1493,19.4867,17.0054,18.3055,18.0243,17.8342,17.2131,13.6184,14.3492,16.1405,22.0077,17.1988
22.578,21.0749,18.9947,16.7442,18.1091,17.7556,17.4089,16.9757,13.3906,13.5931,15.3862,21.6963,17.0326
22.578,21.0749,18.9947,16.7442,18.1091,17.7556,17.4089,16.9757,13.3906,13.5931,15.3862,21.6963,17.0326
22.5547,20.8719,18.7152,16.6206,17.9315,17.594,16.6681,16.2354,13.2733,13.303,14.3193,21.4519,16.2109
22.5547,20.8719,18.7152,16.6206,17.9315,17.594,16.6681,16.2354,13.2733,13.303,14.3193,21.4519,16.2109
22.4802,20.3934,18.3413,16.4364,17.5374,17.4932,16.3914,15.7251,13.1741,13.001,13.8728,21.1312,15.4687
22.4802,20.3934,18.3413,16.4364,17.5374,17.4932,16.3914,15.7251,13.1741,13.001,13.8728,21.1312,15.4687
22.3295,20.0391,17.6522,16.0023,16.6062,17.3297,16.3655,15.217,13.155,12.879,13.1909,19.7952,14.952
22.3295,20.0391,17.6522,16.0023,16.6062,17.3297,16.3655,15.217,13.155,12.879,13.1909,19.7952,14.952
22.194,19.9489,16.8956,15.8152,15.8958,17.0902,16.3189,14.8411,13.169,12.7747,12.6692,19.3366,14.6376
22.194,19.9489,16.8956,15.8152,15.8958,17.0902,16.3189,14.8411,13.169,12.7747,12.6692,19.3366,14.6376
21.7649,19.7485,16.2562,15.7037,15.274,16.8534,16.2433,14.7682,13.1949,12.5038,12.368,18.9936,14.326
21.7649,19.7485,16.2562,15.7037,15.274,16.8534,16.2433,14.7682,13.1949,12.5038,12.368,18.9936,14.326
21.3139,19.337,16.0741,15.4993,14.9248,16.6023,16.1378,14.5343,13.2357,12.3052,12.2834,18.545,14.1059
21.3139,19.337,16.0741,15.4993,14.9248,16.6023,16.1378,14.5343,13.2357,12.3052,12.2834,18.545,14.1059
20.8798,18.7683,15.8028,15.1048,14.7315,16.2315,15.9446,14.3234,13.2646,12.1833,12.2533,18.1458,13.9144
20.8798,18.7683,15.8028,15.1048,14.7315,16.2315,15.9446,14.3234,13.2646,12.1833,12.2533,18.1458,13.9144
20.1609,18.6242,15.3678,15.0174,14.4904,15.9605,15.8164,14.1,13.2906,12.1025,12.2455,17.8284,13.735
20.1609,18.6242,15.3678,15.0174,14.4904,15.9605,15.8164,14.1,13.2906,12.1025,12.2455,17.8284,13.735
19.3865,18.5851,15.1346,15.0077,14.3305,15.8627,15.6724,14.0943,13.2118,12.0346,12.2354,17.2494,13.4796
19.3865,18.5851,15.1346,15.0077,14.3305,15.8627,15.6724,14.0943,13.2118,12.0346,12.2354,17.2494,13.4796
18.4918,18.5435,14.6371,14.9639,14.2058,15.8052,15.4797,14.0898,13.1615,12.0089,12.2228,16.4198,13.1013
18.4918,18.5435,14.6371,14.9639,14.2058,15.8052,15.4797,14.0898,13.1615,12.0089,12.2228,16.4198,13.1013
17.9322,18.4764,14.3488,14.8284,13.9487,15.6909,15.2984,14.0899,13.0999,12.0035,12.2083,15.6128,12.8106
17.9322,18.4764,14.3488,14.8284,13.9487,15.6909,15.2984,14.0899,13.0999,12.0035,12.2083,15.6128,12.8106
17.5989,18.4087,14.2191,14.7183,13.2918,15.6291,15.2188,14.0739,12.9636,11.9924,12.1822,14.8844,12.4791
17.5989,18.4087,14.2191,14.7183,13.2918,15.6291,15.2188,14.0739,12.9636,11.9924,12.1822,14.8844,12.4791
17.4467,18.2484,14.1281,14.5416,13.0825,15.5391,15.191,13.9901,12.8965,11.9736,12.1327,14.7276,12.1953
17.4467,18.2484,14.1281,14.5416,13.0825,15.5391,15.191,13.9901,12.8965,11.9736,12.1327,14.7276,12.1953
17.2761,18.1123,14.0356,14.3101,13.0094,15.2041,15.2154,13.7569,12.8092,11.8898,12.0662,14.6961,12.0343
17.2761,18.1123,14.0356,14.3101,13.0094,15.2041,15.2154,13.7569,12.8092,11.8898,12.0662,14.6961,12.0343
17.2352,18.0797,13.8894,13.9707,12.8677,14.9014,15.0915,13.6364,12.7344,11.8201,11.9316,14.6443,11.9632
17.2352,18.0797,13.8894,13.9707,12.8677,14.9014,15.0915,13.6364,12.7344,11.8201,11.9316,14.6443,11.9632
17.2185,17.99,13.5963,13.7992,12.8308,14.5389,14.8137,13.6067,12.6727,11.7723,11.7623,14.4422,11.8875
17.2185,17.99,13.5963,13.7992,12.8308,14.5389,14.8137,13.6067,12.6727,11.7723,11.7623,14.4422,11.8875
17.1509,17.6337,13.4044,13.6646,12.8183,14.0882,14.6094,13.5957,12.6111,11.7416,11.5088,14.3226,11.8299
17.1509,17.6337,13.4044,13.6646,12.8183,14.0882,14.6094,13.5957,12.6111,11.7416,11.5088,14.3226,11.8299
16.886,17.1204,13.3701,13.6544,12.8073,13.881,14.5776,13.5811,12.5678,11.7186,11.3298,13.9553,11.6769
16.886,17.1204,13.3701,13.6544,12.8073,13.881,14.5776,13.5811,12.5678,11.7186,11.3298,13.9553,11.6769
16.3304,16.7783,13.317,13.5902,12.7985,13.5176,14.5881,13.5587,12.5073,11.6983,11.1896,13.6668,11.1419
16.3304,16.7783,13.317,13.5902,12.7985,13.5176,14.5881,13.5587,12.5073,11.6983,11.1896,13.6668,11.1419
15.8999,16.5614,13.2635,13.4395,12.7867,13.3863,14.531,13.4501,12.4511,11.6956,11.1085,13.5488,10.9787
15.8999,16.5614,13.2635,13.4395,12.7867,13.3863,14.531,13.4501,12.4511,11.6956,11.1085,13.5488,10.9787
