TN4270301d_val,TN4270401d_val,TN4270501d_val,TN4270601d_val,TN4270701d_val,TN4270801d_val,TN4270901d_val,TN4271001d_val,TN4271101d_val,TN4271201d_val,TN4271301d_val,TN4271401d_val,TN4271502d_val
35.6013,35.6452,35.4229,35.4374,35.4466,35.4298,35.4451,35.3682,35.3077,35.3329,35.2258,35.0761,35.0561
35.6013,35.6452,35.4229,35.4374,35.4466,35.4298,35.4451,35.3682,35.3077,35.3329,35.2258,35.0761,35.0561
35.5999,35.6464,35.4275,35.4384,35.4464,35.4276,35.4415,35.3671,35.3077,35.333,35.2503,35.0806,35.0601
35.5999,35.6464,35.4275,35.4384,35.4464,35.4276,35.4415,35.3671,35.3077,35.333,35.2503,35.0806,35.0601
35.6007,35.6491,35.4435,35.4385,35.4459,35.4261,35.4403,35.3668,35.3081,35.3331,35.279,35.0859,35.0693
35.6007,35.6491,35.4435,35.4385,35.4459,35.4261,35.4403,35.3668,35.3081,35.3331,35.279,35.0859,35.0693
35.5851,35.649,35.4603,35.4392,35.4453,35.4255,35.4377,35.3722,35.3078,35.3332,35.3066,35.0902,35.0752
35.5851,35.649,35.4603,35.4392,35.4453,35.4255,35.4377,35.3722,35.3078,35.3332,35.3066,35.0902,35.0752
35.572,35.6416,35.483,35.4398,35.4443,35.4222,35.4347,35.3773,35.3131,35.3334,35.3266,35.0964,35.0888
35.572,35.6416,35.483,35.4398,35.4443,35.4222,35.4347,35.3773,35.3131,35.3334,35.3266,35.0964,35.0888
35.5659,35.6352,35.4955,35.4408,35.4428,35.4177,35.4326,35.3731,35.3365,35.3338,35.3499,35.102,35.0973
35.5659,35.6352,35.4955,35.4408,35.4428,35.4177,35.4326,35.3731,35.3365,35.3338,35.3499,35.102,35.0973
35.5674,35.6317,35.5186,35.4427,35.4415,35.4136,35.4314,35.3769,35.3444,35.3347,35.3632,35.1101,35.1068
35.5674,35.6317,35.5186,35.4427,35.4415,35.4136,35.4314,35.3769,35.3444,35.3347,35.3632,35.1101,35.1068
35.5648,35.6292,35.5293,35.4478,35.4258,35.4089,35.4278,35.3785,35.3431,35.3368,35.3585,35.1176,35.1159
35.5648,35.6292,35.5293,35.4478,35.4258,35.4089,35.4278,35.3785,35.3431,35.3368,35.3585,35.1176,35.1159
35.5521,35.624,35.5367,35.4672,35.4067,35.4043,35.4247,35.3835,35.3461,35.3385,35.3506,35.1279,35.1199
35.5521,35.624,35.5367,35.4672,35.4067,35.4043,35.4247,35.3835,35.3461,35.3385,35.3506,35.1279,35.1199
